Product_ID,Rakhi_Type,Rakhi_Material,Year,Days_Before_Festival,Weekend_Sale,Day_Of_Week,Delhi_Zone,Store_Type,Average_Temperature_C,Payment_Method,Sales_Count,Shop_Name,Price,No_Of_Customers_Visit
488,Premium & Jewelry,Sterling Silver,2026,6,No,Friday,,Local Street Vendor,32.7,Credit Card,3,Gupta Rakhi Hub 299,508.91,11
1018,Eco-Friendly,Sterling Silver,2026,6,No,Wednesday,East,Supermarket,36.6,Cash,2,Chopra Rakhi Hub 166,234.53,11
2816,Kids & Cartoon,Silk Thread,2026,5,nO,Thursday,West,Local Street Vendor,37.7,Credit Card,2,Saxena Rakhi & Gifts,16.05,10
2717,Kids & Cartoon,Silk Thread,2026,4,No,Wednesday,West,Supermarket,35.4,UPI,51,Verma Rakhi Hub 236,18.99,35
5364,Eco-Friendly,Sandalwood (Chandan),2026,6,Yes,Saturday,North,Supermarket,36.0,UPI,5,Gupta Rakhi Hub 70,62.14,17
2930,Kids & Cartoon,Silk Thread,2026,5,nO,Monday,West,Supermarket,32.2,Credit Card,8,Sethi Rakhi Hub 40,19.36,32
3363,Kids & Cartoon,Silk Thread,2026,2,yES,Saturday,West,Local Street Vendor,33.8,UPI,9,Sethi Rakhi Hub 280,11.33,26
5166,Eco-Friendly,Sandalwood (Chandan),2026,4,No,Tuesday,,Supermarket,30.6,UPI,5,Sethi Gift House,68.91,31
1076,Kids & Cartoon,Silk Thread,2026,4,No,Tuesday,North,Online,28.3,Credit Card,7,Mehra Rakhi Corner,17.15,25
5987,Premium & Jewelry,Sterling Silver,2026,4,nO,Tuesday,West,Local Street Vendor,35.3,UPI,9,Arora Rakhi Hub 46,512.71,30
4982,Premium & Jewelry,Sterling Silver,2026,6,No,Monday,North,Local Street Vendor,24.7,Cash,2,Chawla Handicrafts,499.43,7
4219,Eco-Friendly,Silk Thread,2026,2,nO,Friday,West,Supermarket,32.8,UPI,6,Bhatia Rakhi Hub 29,32.35,25
2922,Premium & Jewelry,Silk Thread,2026,1,No,Thursday,North,Supermarket,,Cash,4,Mehra Festive Mart,101.28,21
4020,Eco-Friendly,Sandalwood (Chandan),2026,5,yES,Saturday,West,Online,27.7,Cash,6,Khanna Rakhi Hub 293,80.74,16
4332,Eco-Friendly,Sandalwood (Chandan),2026,3,nO,Wednesday,Central,Supermarket,28.0,UPI,11,Nanda Rakhi Hub 28,54.47,33
4171,Eco-Friendly,Sandalwood (Chandan),2026,3,No,Monday,West,Local Street Vendor,24.7,Credit Card,4,Sharma Traditions,41.69,19
1323,Premium & Jewelry,Sterling Silver,2026,5,yES,Sunday,Central,Local Street Vendor,35.4,Credit Card,1,Khanna Emporium,516.85,6
3118,Kids & Cartoon,Silk Thread,2026,6,Yes,Saturday,North,Online,32.5,Cash,3,Bansal Rakhi Hub 99,17.4,9
2253,Kids & Cartoon,Silk Thread,2026,6,No,Thursday,East,Online,36.1,Cash,1,Rastogi Rakhi Point,16.18,8
500,Kids & Cartoon,Silk Thread,2026,3,Yes,Sunday,West,Supermarket,24.6,Credit Card,5,Kapoor Gift House,20.45,20
2204,Premium & Jewelry,Sterling Silver,2026,2,Yes,Saturday,East,Local Street Vendor,26.6,Cash,17,Gupta Rakhi Hub 7,476.14,40
867,Eco-Friendly,Sandalwood (Chandan),2026,1,No,Thursday,Central,Online,31.1,Credit Card,22,Chopra Rakhi Point,81.71,77
5592,Eco-Friendly,Silk Thread,2026,5,No,Thursday,North,Local Street Vendor,31.6,Cash,2,Chawla Rakhi Hub 102,27.72,11
2466,Eco-Friendly,Sandalwood (Chandan),2026,5,No,Tuesday,East,Supermarket,38.3,Credit Card,3,Goel Rakhi Point,56.79,16
466,Kids & Cartoon,Silk Thread,2026,2,Yes,Sunday,Central,Supermarket,32.8,Credit Card,19,Tandon Rakhi Hub 142,10.37,51
2883,Kids & Cartoon,Silk Thread,2026,2,No,Wednesday,West,Local Street Vendor,29.9,Cash,2,Bhatia Rakhi Hub 80,12.85,8
4962,Premium & Jewelry,Sterling Silver,2026,6,yES,Sunday,Central,Online,30.2,Cash,2,Rastogi Festive Mart,540.69,7
1620,Premium & Jewelry,Sandalwood (Chandan),2026,3,No,Friday,East,Local Street Vendor,30.0,UPI,4,Tandon Festive Mart,171.71,14
4283,Kids & Cartoon,Silk Thread,2026,1,No,Wednesday,West,Supermarket,34.0,Cash,18,Gupta Gift House,16.56,61
5448,Kids & Cartoon,Silk Thread,2026,5,Yes,Sunday,East,Online,35.8,UPI,5,Jain Emporium,22.43,19
1503,Kids & Cartoon,Silk Thread,2026,2,Yes,Sunday,West,Local Street Vendor,34.6,Cash,5,Verma Rakhi Hub 196,12.86,13
3916,Kids & Cartoon,Silk Thread,2026,3,Yes,Saturday,,Online,31.1,Cash,5,Rastogi Festive Mart,15.55,16
3263,Premium & Jewelry,Silk Thread,2026,2,nO,Tuesday,North,Supermarket,46.1,Credit Card,2,Verma Emporium,112.31,15
264,Premium & Jewelry,Silk Thread,2026,2,Yes,Sunday,Central,Supermarket,28.4,Cash,16,Bhatia Rakhi Hub 211,109.33,45
3807,Kids & Cartoon,Silk Thread,2026,4,No,Wednesday,East,Local Street Vendor,38.0,Cash,3,Tandon Rakhi Hub 65,20.78,12
4085,Kids & Cartoon,Silk Thread,2026,6,No,Tuesday,West,Supermarket,35.4,Credit Card,5,Khanna Rakhi Hub 85,16.21,24
520,Eco-Friendly,Sandalwood (Chandan),2026,6,nO,Tuesday,North,Online,41.5,UPI,4,Gupta Rakhi Hub 176,79.97,22
1812,Kids & Cartoon,Silk Thread,2026,7,No,Wednesday,West,Local Street Vendor,37.5,UPI,1,Tandon Rakhi Hub 60,15.4,6
1145,Kids & Cartoon,Silk Thread,2026,7,No,Tuesday,East,Local Street Vendor,33.6,Credit Card,2,Kapoor Festive Mart,12.61,5
5828,Premium & Jewelry,Sterling Silver,2026,3,No,Friday,North,Supermarket,33.8,Credit Card,11,Nanda Rakhi Bazaar,590.79,38
2150,Premium & Jewelry,Sterling Silver,2026,1,Yes,Sunday,East,Supermarket,30.5,Cash,7,Gupta Festive Mart,856.1,18
3930,Eco-Friendly,Sandalwood (Chandan),2026,6,No,Wednesday,,Online,33.6,Cash,3,Rastogi Rakhi Hub 50,84.26,9
5512,Kids & Cartoon,Sandalwood (Chandan),2026,6,Yes,Sunday,East,Supermarket,33.0,Cash,5,Sethi Rakhi Hub 113,28.41,22
3291,Kids & Cartoon,Silk Thread,2026,2,No,Monday,Central,Online,35.3,UPI,13,Sethi Rakhi Hub 10,24.14,39
683,Premium & Jewelry,Sterling Silver,2026,7,Yes,Saturday,Central,Supermarket,28.4,Credit Card,2,Bansal Rakhi & Gifts,521.58,11
2841,Eco-Friendly,Silk Thread,2026,5,yES,Sunday,Central,Supermarket,30.9,Credit Card,8,Bansal Rakhi Hub 134,36.47,23
1003,Premium & Jewelry,Sterling Silver,2026,3,Yes,Sunday,East,Local Street Vendor,,UPI,7,Chawla Rakhi Hub 201,481.76,30
5714,Kids & Cartoon,Silk Thread,2026,5,No,Thursday,North,Supermarket,34.3,Cash,3,Saxena Rakhi Point,13.56,19
5130,Eco-Friendly,Sandalwood (Chandan),2026,6,Yes,Saturday,Central,Online,37.0,Credit Card,2,Bhatia Rakhi Hub 2,80.39,10
4291,Premium & Jewelry,Sterling Silver,2026,6,Yes,Sunday,West,Online,34.3,Credit Card,5,Mehra Rakhi Bazaar,667.32,11
2174,Premium & Jewelry,Sterling Silver,2026,3,Yes,Sunday,East,Local Street Vendor,39.1,Cash,6,Tandon Rakhi Bazaar,483.83,17
484,Kids & Cartoon,Silk Thread,2026,2,Yes,Sunday,Central,Local Street Vendor,39.7,Credit Card,5,Sharma Rakhi Hub 141,12.39,16
3814,Premium & Jewelry,Sterling Silver,2026,3,Yes,Sunday,,Online,38.9,Cash,8,Tandon Emporium,686.37,27
4415,Premium & Jewelry,Sterling Silver,2026,1,yES,Sunday,West,Online,,UPI,10,Goel Rakhi Hub 244,762.49,47
519,Premium & Jewelry,Sterling Silver,2026,5,Yes,Sunday,West,Supermarket,34.3,Cash,2,Khanna Rakhi Hub 271,670.77,7
4855,Premium & Jewelry,Sandalwood (Chandan),2026,4,Yes,Sunday,Central,Supermarket,31.6,Cash,9,Bhatia Rakhi Hub 254,191.01,26
1346,Kids & Cartoon,Silk Thread,2026,1,#Yes,Saturday,East,Supermarket,30.8,Credit Card,11,Bhatia Rakhi Hub 290,15.86,35
697,Eco-Friendly,Sandalwood (Chandan),2026,5,No,Thursday,West,Local Street Vendor,32.1,UPI,3,Verma Gift House,51.67,10
1010,Kids & Cartoon,Silk Thread,2026,5,No,Wednesday,East,Local Street Vendor,29.8,Cash,4,Nanda Rakhi Bazaar,13.0,19
3988,Kids & Cartoon,Silk Thread,2026,3,yES,Saturday,Central,Supermarket,32.7,Credit Card,3,Gupta Rakhi Hub 27,15.11,11
6000,Eco-Friendly,Sandalwood (Chandan),2026,6,#Yes,Saturday,East,Supermarket,33.7,Credit Card,4,Chawla Rakhi Corner,73.46,14
2771,Premium & Jewelry,Sterling Silver,2026,2,nO,Tuesday,North,Local Street Vendor,32.0,Cash,2,Arora Rakhi Corner,500.87,9
1075,Eco-Friendly,Sandalwood (Chandan),2026,1,No,Monday,East,Local Street Vendor,35.3,Cash,2,Tandon Rakhi Store,45.12,11
1340,Kids & Cartoon,Sandalwood (Chandan),2026,7,Yes,Sunday,East,Supermarket,34.2,Cash,4,Aggarwal Rakhi Hub 157,33.34,14
2987,Premium & Jewelry,Sterling Silver,2026,7,yES,Sunday,North,Local Street Vendor,25.0,Cash,3,Gupta Rakhi Store,539.78,11
2470,Kids & Cartoon,Silk Thread,2026,6,Yes,Saturday,Central,Online,28.4,Cash,5,Jain Rakhi Hub 253,30.19,19
5025,Kids & Cartoon,Silk Thread,2026,1,No,Tuesday,Central,Local Street Vendor,31.5,Cash,9,Tandon Rakhi Hub 142,12.66,37
4422,Premium & Jewelry,Sterling Silver,2026,6,nO,Monday,East,Online,33.9,Cash,1,Khanna Rakhi Hub 45,758.65,6
3393,Eco-Friendly,Sandalwood (Chandan),2026,3,Yes,Saturday,East,Online,28.7,Cash,5,Tandon Rakhi Hub 103,70.98,22
1484,Premium & Jewelry,Silk Thread,2026,2,yES,Saturday,Central,Supermarket,32.9,UPI,2,Chawla Rakhi Hub 201,114.17,8
4862,Eco-Friendly,Sandalwood (Chandan),2026,3,No,Monday,Central,Online,35.2,Cash,3,Nanda Rakhi & Gifts,79.62,15
1935,Eco-Friendly,Sandalwood (Chandan),2026,3,nO,Tuesday,Central,Local Street Vendor,29.3,Cash,4,Goel Rakhi Hub 52,51.96,20
1035,Kids & Cartoon,Silk Thread,2026,2,Yes,Saturday,North,Supermarket,38.7,UPI,11,Goel Rakhi Hub 105,24.49,29
5485,Eco-Friendly,Silk Thread,2026,6,No,Monday,West,Supermarket,,UPI,3,Goel Rakhi Hub 133,38.27,22
2479,Kids & Cartoon,Silk Thread,2026,3,No,Thursday,Central,Supermarket,32.5,Cash,9,Chawla Handicrafts,15.87,27
350,Premium & Jewelry,Sterling Silver,2026,7,Yes,Saturday,West,Supermarket,29.3,Credit Card,6,Chopra Traditions,639.22,20
4394,Kids & Cartoon,Silk Thread,2026,2,No,Thursday,North,Supermarket,31.7,Cash,7,Arora Rakhi Store,17.26,20
4353,Kids & Cartoon,Silk Thread,2026,6,No,Tuesday,Central,Online,29.5,Cash,4,Saxena Rakhi Hub 252,22.03,12
5394,Kids & Cartoon,Silk Thread,2026,2,No,Tuesday,East,Local Street Vendor,35.2,Cash,12,Aggarwal Rakhi Hub 179,12.12,40
1062,Kids & Cartoon,Sterling Silver,2026,2,Yes,Saturday,Central,Supermarket,34.6,Cash,14,Mehra Rakhi Hub 128,129.97,34
880,Kids & Cartoon,Silk Thread,2026,3,No,Tuesday,North,Supermarket,37.6,Credit Card,6,Sethi Rakhi Hub 10,15.32,22
5603,Eco-Friendly,Silk Thread,2026,1,#Yes,Saturday,North,Online,35.3,Credit Card,6,Kapoor Rakhi Hub 118,33.52,19
2543,Kids & Cartoon,Silk Thread,2026,5,yES,Sunday,Central,Local Street Vendor,35.4,Cash,5,Bansal Rakhi Hub 214,10.91,16
575,Eco-Friendly,Sandalwood (Chandan),2026,2,No,Wednesday,West,Local Street Vendor,30.0,Cash,6,Mehra Rakhi Hub 148,60.61,19
4836,Eco-Friendly,Silk Thread,2026,6,No,Thursday,West,Local Street Vendor,27.2,Cash,2,Chawla Rakhi Hub 104,18.91,8
1851,Premium & Jewelry,Sterling Silver,2026,4,No,Wednesday,North,Local Street Vendor,28.0,Credit Card,7,Khanna Emporium,415.09,26
5403,Kids & Cartoon,Silk Thread,2026,1,Yes,Sunday,North,Online,27.3,Credit Card,22,Chawla Rakhi Bazaar,16.21,58
1678,Kids & Cartoon,Sandalwood (Chandan),2026,4,No,Friday,Central,Supermarket,32.6,Cash,2,Bansal Rakhi Hub 124,28.89,15
1836,Premium & Jewelry,Sterling Silver,2026,6,No,Wednesday,Central,Online,29.4,Credit Card,2,Sharma Festive Mart,884.65,8
1971,Kids & Cartoon,Silk Thread,2026,3,No,Thursday,West,Local Street Vendor,31.9,UPI,2,Rastogi Rakhi Hub 5,12.69,9
4953,Premium & Jewelry,Sterling Silver,2026,5,No,Tuesday,East,Local Street Vendor,32.8,UPI,5,Saxena Rakhi Hub 255,436.71,19
4705,Premium & Jewelry,Sterling Silver,2026,5,No,Thursday,East,Supermarket,35.1,UPI,6,Malhotra Rakhi Bazaar,753.23,20
5200,Kids & Cartoon,Silk Thread,2026,6,No,Thursday,Central,Supermarket,33.1,Cash,4,Chopra Rakhi Hub 69,13.13,15
458,Kids & Cartoon,Silk Thread,2026,7,#Yes,Sunday,East,Online,32.2,Cash,3,Goel Rakhi Hub 15,25.78,15
4648,Premium & Jewelry,Sandalwood (Chandan),2026,3,Yes,Saturday,Central,Local Street Vendor,32.2,Credit Card,6,Sethi Traditions,122.6,25
2071,Eco-Friendly,Sandalwood (Chandan),2026,6,nO,Thursday,West,Local Street Vendor,30.3,Credit Card,4,Khanna Rakhi Store,54.66,14
3183,Kids & Cartoon,Silk Thread,2026,5,No,Monday,West,Supermarket,34.4,Credit Card,9,Kapoor Handicrafts,14.61,37
5338,Kids & Cartoon,Silk Thread,2026,1,Yes,Sunday,East,Local Street Vendor,37.5,UPI,12,Aggarwal Rakhi Hub 284,13.05,41
1946,Eco-Friendly,Silk Thread,2026,6,No,Wednesday,North,Supermarket,33.5,Cash,3,Sharma Rakhi Hub 180,32.35,18
5992,Kids & Cartoon,Silk Thread,2026,7,No,Thursday,East,Supermarket,30.4,UPI,5,Arora Gift House,17.77,18
3264,Kids & Cartoon,Silk Thread,2026,6,No,Thursday,North,Supermarket,35.0,Cash,5,Chopra Rakhi Bazaar,14.76,16
5879,Eco-Friendly,Sterling Silver,2026,1,No,Thursday,,Online,28.5,Credit Card,19,Mehra Emporium,281.58,60
336,Kids & Cartoon,Silk Thread,2026,7,#Yes,Sunday,East,Online,32.6,Cash,3,Sethi Rakhi Hub 11,18.22,12
5269,Eco-Friendly,Sterling Silver,2026,7,yES,Saturday,North,Supermarket,28.3,Cash,10,Arora Rakhi Hub 140,153.35,26
2989,Premium & Jewelry,Sterling Silver,2026,2,nO,Wednesday,,Online,28.0,Credit Card,10,Mehra Rakhi Hub 285,722.99,56
4628,Kids & Cartoon,Silk Thread,2026,4,No,Monday,Central,Local Street Vendor,35.3,UPI,13,Goel Rakhi Hub 181,13.54,38
1551,Premium & Jewelry,Sandalwood (Chandan),2026,6,yES,Sunday,North,Local Street Vendor,37.6,Cash,2,Mehra Gift House,141.7,8
2165,Eco-Friendly,Sandalwood (Chandan),2026,7,No,Monday,East,Local Street Vendor,26.8,Cash,3,Aggarwal Rakhi Hub 263,55.25,11
587,Premium & Jewelry,Sterling Silver,2026,7,Yes,Saturday,North,Local Street Vendor,32.8,Cash,1,Chawla Rakhi Hub 34,457.02,3
2406,Premium & Jewelry,Sandalwood (Chandan),2026,4,nO,Wednesday,East,Local Street Vendor,31.1,UPI,2,Gupta Rakhi Hub 176,158.38,9
4781,Kids & Cartoon,Silk Thread,2026,5,nO,Friday,West,Supermarket,34.0,Credit Card,2,Saxena Rakhi Hub 227,15.07,13
3429,Eco-Friendly,Sandalwood (Chandan),2026,2,nO,Friday,West,Online,37.2,Cash,5,Tandon Rakhi Hub 142,70.43,28
2610,Kids & Cartoon,Silk Thread,2026,5,No,Wednesday,Central,Supermarket,32.5,Credit Card,2,Aggarwal Rakhi Hub 144,14.19,7
3657,Premium & Jewelry,Sterling Silver,2026,3,nO,Monday,North,Local Street Vendor,32.8,Credit Card,2,Bansal Rakhi Hub 161,438.6,11
3215,Premium & Jewelry,Sterling Silver,2026,5,No,Wednesday,West,Supermarket,28.3,Credit Card,2,Arora Rakhi Hub 210,726.22,6
3535,Eco-Friendly,Sandalwood (Chandan),2026,1,Yes,Saturday,East,Local Street Vendor,29.6,Cash,8,Arora Rakhi Hub 46,62.9,24
3287,Kids & Cartoon,Silk Thread,2026,4,No,Friday,West,Local Street Vendor,36.3,UPI,5,Sharma Rakhi Hub 35,15.5,19
2081,Kids & Cartoon,Silk Thread,2026,3,No,Thursday,North,Supermarket,30.9,Credit Card,2,Rastogi Rakhi Corner,18.48,12
1170,Premium & Jewelry,Sterling Silver,2026,5,No,Thursday,East,Online,30.8,Credit Card,2,Chopra Rakhi Hub 57,640.44,7
3357,Kids & Cartoon,Sandalwood (Chandan),2026,2,#Yes,Saturday,West,Online,35.0,UPI,6,Bansal Rakhi Point,39.33,24
648,Kids & Cartoon,Sterling Silver,2026,3,No,Thursday,Central,Supermarket,22.7,Cash,3,Verma Rakhi Corner,118.02,11
223,Kids & Cartoon,Silk Thread,2026,2,No,Thursday,West,Local Street Vendor,37.6,UPI,44,Sharma Rakhi Hub 259,12.0,39
524,Kids & Cartoon,Silk Thread,2026,4,#Yes,Sunday,North,Local Street Vendor,38.3,Credit Card,5,Mehra Festive Mart,15.46,5
4037,Kids & Cartoon,Silk Thread,2026,4,Yes,Saturday,East,Supermarket,29.0,UPI,6,Bhatia Festive Mart,15.17,17
24,Eco-Friendly,Sandalwood (Chandan),2026,1,nO,Wednesday,Central,Local Street Vendor,37.1,Cash,4,Aggarwal Rakhi Corner,53.23,24
1906,Kids & Cartoon,Silk Thread,2026,2,Yes,Sunday,Central,Local Street Vendor,32.8,Cash,8,Bansal Gift House,11.38,30
4079,Premium & Jewelry,Silk Thread,2026,3,#Yes,Sunday,East,Online,33.0,Cash,13,Chawla Festive Mart,155.68,31
1555,Premium & Jewelry,Sterling Silver,2026,3,No,Thursday,East,Supermarket,,Credit Card,4,Gupta Rakhi Hub 187,622.82,11
5724,Eco-Friendly,Sandalwood (Chandan),2026,5,Yes,Saturday,East,Supermarket,32.6,Cash,10,Rastogi Rakhi Hub 50,56.35,25
5205,Premium & Jewelry,Sterling Silver,2026,3,No,Monday,East,Supermarket,,Credit Card,8,Arora Rakhi Hub 219,734.91,24
2140,Eco-Friendly,Sandalwood (Chandan),2026,5,Yes,Sunday,Central,Local Street Vendor,29.1,Credit Card,3,Mehra Rakhi & Gifts,40.51,15
5841,Kids & Cartoon,Sandalwood (Chandan),2026,6,No,Wednesday,West,Supermarket,34.9,UPI,3,Aggarwal Rakhi Hub 212,33.33,12
4946,Eco-Friendly,Sandalwood (Chandan),2026,1,No,Wednesday,North,Online,39.2,Cash,5,Bansal Rakhi Hub 161,69.01,38
1408,Premium & Jewelry,Sterling Silver,2026,5,nO,Thursday,,Supermarket,37.2,UPI,4,Goel Festive Mart,569.58,15
66,Kids & Cartoon,Silk Thread,2026,6,No,Monday,East,Local Street Vendor,30.4,UPI,5,Verma Rakhi Hub 73,11.77,14
5601,Kids & Cartoon,Silk Thread,2026,3,No,Tuesday,West,Supermarket,35.0,UPI,4,Aggarwal Rakhi Store,19.33,20
1045,Premium & Jewelry,Sandalwood (Chandan),2026,4,No,Friday,West,Online,30.3,Cash,5,Rastogi Rakhi Hub 178,253.07,13
505,Kids & Cartoon,Silk Thread,2026,7,Yes,Sunday,Central,Supermarket,43.6,Cash,4,Khanna Festive Mart,21.45,13
1926,Premium & Jewelry,Sterling Silver,2026,6,No,Thursday,West,Supermarket,,UPI,6,Chawla Rakhi Hub 265,608.26,31
4744,Premium & Jewelry,Sandalwood (Chandan),2026,3,Yes,Saturday,East,Local Street Vendor,27.7,Credit Card,7,Sharma Rakhi Hub 61,181.96,24
2032,Kids & Cartoon,Silk Thread,2026,2,yES,Saturday,Central,Online,28.8,Cash,8,Saxena Rakhi Hub 41,19.03,33
5825,Kids & Cartoon,Silk Thread,2026,1,No,Friday,West,Supermarket,32.4,Cash,4,Chawla Rakhi Corner,13.03,26
5245,Kids & Cartoon,Silk Thread,2026,1,No,Thursday,East,Local Street Vendor,35.1,Cash,13,Mehra Rakhi Hub 256,15.22,38
5037,Eco-Friendly,Sandalwood (Chandan),2026,5,No,Friday,West,Supermarket,20.5,Cash,2,Saxena Rakhi Hub 227,67.62,6
555,Premium & Jewelry,Sterling Silver,2026,5,No,Wednesday,North,Local Street Vendor,20.3,Cash,3,Chawla Rakhi Hub 94,533.3,21
3055,Kids & Cartoon,Silk Thread,2026,4,#Yes,Sunday,North,Supermarket,27.5,UPI,5,Arora Emporium,18.62,28
4395,Kids & Cartoon,Silk Thread,2026,2,No,Monday,East,Online,30.4,UPI,7,Sethi Rakhi Hub 19,18.02,33
5395,Kids & Cartoon,Silk Thread,2026,5,nO,Monday,West,Supermarket,29.8,Credit Card,3,Sharma Rakhi Hub 61,20.44,11
3536,Eco-Friendly,Sandalwood (Chandan),2026,3,Yes,Sunday,East,Supermarket,33.9,Cash,11,Jain Rakhi Bazaar,67.15,26
1700,Eco-Friendly,Sandalwood (Chandan),2026,5,No,Tuesday,,Online,33.6,Cash,2,Bhatia Rakhi Hub 80,64.53,10
