reading_id,station_id,station_code,city,region,year,month,season,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_humidity_pct,avg_wind_mph,avg_visibility_mi,avg_aqi,dominant_weather
21,1,KSEA,Seattle,Northwest,2023,2,Winter,31.5,42.3,20.9,3.39,84,6.4,8.7,22,Snow
22,2,KPDX,Portland,Northwest,2023,2,Winter,28.3,35.6,14.5,2.2,80,10.0,9.2,36,Rain
23,3,KBOI,Boise,Northwest,2023,2,Winter,22.0,33.6,15.4,1.03,69,9.0,8.3,48,Rain
24,4,KGEG,Spokane,Northwest,2023,2,Winter,24.9,37.2,14.6,1.93,69,3.5,7.7,25,Rain
25,5,KPHX,Phoenix,Southwest,2023,2,Winter,46.5,58.8,34.0,1.08,28,8.2,10.0,92,Rain
26,6,KLAS,Las Vegas,Southwest,2023,2,Winter,44.8,55.2,30.9,0.13,38,5.0,10.0,77,Clear
27,7,KLAX,Los Angeles,Southwest,2023,2,Winter,45.2,53.8,35.4,0.24,78,6.8,10.0,106,Hazy
28,8,KABQ,Albuquerque,Southwest,2023,2,Winter,39.4,48.6,32.6,1.27,48,13.0,9.0,69,Cloudy
29,9,KORD,Chicago,Midwest,2023,2,Winter,32.6,42.0,22.6,2.27,77,11.1,8.5,50,Rain
30,10,KMSP,Minneapolis,Midwest,2023,2,Winter,27.3,36.1,20.1,1.41,68,10.7,9.5,35,Cloudy
31,11,KMCI,Kansas City,Midwest,2023,2,Winter,33.1,39.6,24.8,3.75,66,11.9,7.7,65,Snow
32,12,KCMH,Columbus,Midwest,2023,2,Winter,30.4,41.9,17.4,3.25,81,9.8,9.3,49,Snow
33,13,KATL,Atlanta,Southeast,2023,2,Winter,40.7,54.0,27.6,3.27,84,7.7,9.0,24,Rain
34,14,KMIA,Miami,Southeast,2023,2,Winter,60.6,69.0,52.3,4.88,87,11.6,5.6,22,Rain
35,15,KBNA,Nashville,Southeast,2023,2,Winter,34.7,48.0,25.7,3.29,67,7.1,7.1,53,Snow
36,16,KCLT,Charlotte,Southeast,2023,2,Winter,40.4,47.6,34.0,3.57,73,8.2,6.8,37,Rain
37,17,KJFK,New York,Northeast,2023,2,Winter,34.3,41.4,25.7,3.38,70,11.9,8.2,60,Snow
38,18,KBOS,Boston,Northeast,2023,2,Winter,24.8,36.6,14.1,4.21,72,10.3,9.0,30,Snow
39,19,KPHL,Philadelphia,Northeast,2023,2,Winter,27.1,33.6,18.2,2.84,65,9.5,9.6,67,Snow
40,20,KPIT,Pittsburgh,Northeast,2023,2,Winter,25.4,33.2,12.4,3.14,80,10.5,8.5,41,Snow
41,1,KSEA,Seattle,Northwest,2023,3,Spring,45.1,55.6,37.4,4.55,75,5.9,7.5,19,Rain
42,2,KPDX,Portland,Northwest,2023,3,Spring,50.3,59.2,40.7,4.79,71,5.4,7.1,36,Rain
43,3,KBOI,Boise,Northwest,2023,3,Spring,48.7,59.4,41.9,0.94,70,7.2,9.2,52,Cloudy
44,4,KGEG,Spokane,Northwest,2023,3,Spring,46.9,55.5,37.1,2.33,63,10.3,7.5,18,Rain
45,5,KPHX,Phoenix,Southwest,2023,3,Spring,76.6,87.1,64.4,0.8,20,6.7,8.7,71,Cloudy
46,6,KLAS,Las Vegas,Southwest,2023,3,Spring,65.7,75.6,53.5,0.08,23,11.4,10.0,85,Clear
47,7,KLAX,Los Angeles,Southwest,2023,3,Spring,61.9,69.3,52.7,2.12,64,4.9,10.0,74,Rain
48,8,KABQ,Albuquerque,Southwest,2023,3,Spring,51.0,64.8,37.3,0.96,45,9.0,8.6,65,Cloudy
49,9,KORD,Chicago,Midwest,2023,3,Spring,51.3,64.2,44.5,4.64,71,9.8,8.5,65,Rain
50,10,KMSP,Minneapolis,Midwest,2023,3,Spring,46.5,54.0,34.4,3.6,62,14.2,9.3,36,Rain
51,11,KMCI,Kansas City,Midwest,2023,3,Spring,56.6,65.5,43.9,3.62,62,9.7,7.8,58,Rain
52,12,KCMH,Columbus,Midwest,2023,3,Spring,45.0,53.7,33.8,3.96,75,12.9,6.8,29,Rain
53,13,KATL,Atlanta,Southeast,2023,3,Spring,63.5,69.7,51.9,4.97,79,6.1,6.7,30,Rain
54,14,KMIA,Miami,Southeast,2023,3,Spring,79.0,91.5,66.3,7.94,79,11.3,4.8,33,Rain
55,15,KBNA,Nashville,Southeast,2023,3,Spring,55.5,67.0,48.7,5.81,64,5.4,6.7,33,Rain
56,16,KCLT,Charlotte,Southeast,2023,3,Spring,54.7,61.6,46.5,4.23,84,11.7,6.5,52,Rain
57,17,KJFK,New York,Northeast,2023,3,Spring,53.7,65.4,42.9,4.39,77,10.7,7.1,58,Rain
58,18,KBOS,Boston,Northeast,2023,3,Spring,52.8,60.4,46.5,4.26,70,10.3,7.7,62,Rain
59,19,KPHL,Philadelphia,Northeast,2023,3,Spring,55.5,67.9,46.6,5.06,71,9.4,8.4,45,Rain
60,20,KPIT,Pittsburgh,Northeast,2023,3,Spring,51.5,61.1,44.4,3.11,61,6.0,8.1,48,Rain
61,1,KSEA,Seattle,Northwest,2023,4,Spring,47.7,54.9,37.5,5.32,80,11.7,6.5,43,Rain
62,2,KPDX,Portland,Northwest,2023,4,Spring,48.9,56.9,36.0,5.24,65,12.0,5.7,31,Rain
63,3,KBOI,Boise,Northwest,2023,4,Spring,40.7,51.6,33.9,1.2,59,4.2,10.0,33,Cloudy
64,4,KGEG,Spokane,Northwest,2023,4,Spring,41.8,55.1,33.5,1.48,77,5.7,8.1,34,Cloudy
65,5,KPHX,Phoenix,Southwest,2023,4,Spring,66.0,73.6,52.9,1.4,35,7.3,8.4,79,Cloudy
66,6,KLAS,Las Vegas,Southwest,2023,4,Spring,74.2,87.5,67.7,0.96,28,10.8,9.0,99,Rain
67,7,KLAX,Los Angeles,Southwest,2023,4,Spring,62.0,68.1,49.0,1.2,73,10.7,10.0,96,Cloudy
68,8,KABQ,Albuquerque,Southwest,2023,4,Spring,56.5,64.9,50.2,0.02,35,8.4,10.0,48,Cloudy
69,9,KORD,Chicago,Midwest,2023,4,Spring,44.4,55.9,31.7,3.41,69,15.2,8.9,73,Rain
70,10,KMSP,Minneapolis,Midwest,2023,4,Spring,35.3,48.7,23.8,2.88,67,9.9,8.8,32,Rain
71,11,KMCI,Kansas City,Midwest,2023,4,Spring,56.3,63.0,46.5,3.5,67,9.5,8.0,43,Rain
72,12,KCMH,Columbus,Midwest,2023,4,Spring,46.0,53.0,35.6,3.56,61,7.7,6.9,51,Rain
73,13,KATL,Atlanta,Southeast,2023,4,Spring,63.7,71.2,51.4,5.2,83,8.9,6.6,36,Rain
74,14,KMIA,Miami,Southeast,2023,4,Spring,75.1,87.9,68.1,8.08,76,11.4,4.9,40,Rain
75,15,KBNA,Nashville,Southeast,2023,4,Spring,51.3,63.5,42.2,5.76,85,9.1,7.0,55,Rain
76,16,KCLT,Charlotte,Southeast,2023,4,Spring,57.2,67.1,50.3,5.11,68,9.1,5.5,27,Rain
77,17,KJFK,New York,Northeast,2023,4,Spring,52.9,65.5,43.1,5.28,66,9.8,5.6,57,Rain
78,18,KBOS,Boston,Northeast,2023,4,Spring,52.1,62.3,44.3,3.99,72,12.1,6.5,45,Rain
79,19,KPHL,Philadelphia,Northeast,2023,4,Spring,50.0,60.0,41.5,3.46,74,12.1,9.6,42,Rain
80,20,KPIT,Pittsburgh,Northeast,2023,4,Spring,41.7,48.1,34.9,3.03,73,8.6,8.5,46,Rain
81,1,KSEA,Seattle,Northwest,2023,5,Spring,49.9,57.8,38.5,4.87,76,6.3,8.3,49,Rain
82,2,KPDX,Portland,Northwest,2023,5,Spring,45.8,53.3,38.7,4.47,85,6.1,6.1,22,Rain
83,3,KBOI,Boise,Northwest,2023,5,Spring,50.5,58.1,41.9,1.81,51,6.7,8.9,43,Rain
84,4,KGEG,Spokane,Northwest,2023,5,Spring,49.6,56.4,36.1,2.03,73,5.2,9.9,19,Rain
85,5,KPHX,Phoenix,Southwest,2023,5,Spring,76.2,85.2,63.9,1.22,30,4.0,9.1,61,Rain
86,6,KLAS,Las Vegas,Southwest,2023,5,Spring,70.4,83.4,64.0,0.57,27,4.8,10.0,74,Clear
87,7,KLAX,Los Angeles,Southwest,2023,5,Spring,62.7,76.3,48.7,2.03,63,5.5,9.0,87,Rain
88,8,KABQ,Albuquerque,Southwest,2023,5,Spring,54.7,65.9,42.3,1.33,42,8.4,10.0,54,Rain
89,9,KORD,Chicago,Midwest,2023,5,Spring,45.8,59.1,36.1,4.49,67,13.6,6.9,74,Rain
90,10,KMSP,Minneapolis,Midwest,2023,5,Spring,40.3,50.2,30.1,3.08,71,12.4,9.5,56,Rain
91,11,KMCI,Kansas City,Midwest,2023,5,Spring,49.5,58.0,37.9,3.35,72,9.9,7.5,60,Rain
92,12,KCMH,Columbus,Midwest,2023,5,Spring,44.1,54.7,35.6,4.05,60,7.2,8.0,60,Rain
93,13,KATL,Atlanta,Southeast,2023,5,Spring,58.8,69.6,45.4,5.23,83,9.1,6.8,23,Rain
94,14,KMIA,Miami,Southeast,2023,5,Spring,70.1,82.9,63.9,7.72,83,8.2,6.2,45,Rain
95,15,KBNA,Nashville,Southeast,2023,5,Spring,53.7,61.0,44.8,5.66,68,7.9,6.4,50,Rain
96,16,KCLT,Charlotte,Southeast,2023,5,Spring,51.1,64.9,42.4,5.13,83,9.1,7.1,39,Rain
97,17,KJFK,New York,Northeast,2023,5,Spring,53.2,63.3,45.3,4.62,57,7.9,8.2,59,Rain
98,18,KBOS,Boston,Northeast,2023,5,Spring,50.6,62.1,38.3,4.87,58,16.2,6.0,46,Rain
99,19,KPHL,Philadelphia,Northeast,2023,5,Spring,50.5,57.1,40.1,4.06,58,10.5,9.0,57,Rain
100,20,KPIT,Pittsburgh,Northeast,2023,5,Spring,41.5,55.2,28.8,4.87,71,12.6,6.0,51,Rain
101,1,KSEA,Seattle,Northwest,2023,6,Summer,79.3,87.9,73.1,3.7,81,6.0,9.1,43,Rain
102,2,KPDX,Portland,Northwest,2023,6,Summer,79.3,91.7,70.9,3.26,81,8.3,7.0,56,Rain
103,3,KBOI,Boise,Northwest,2023,6,Summer,76.6,90.1,70.5,0.43,51,10.5,10.0,75,Clear
104,4,KGEG,Spokane,Northwest,2023,6,Summer,70.5,83.7,60.9,1.14,65,10.2,9.2,55,Cloudy
105,5,KPHX,Phoenix,Southwest,2023,6,Summer,91.7,99.5,84.7,0,33,4.4,10.0,113,Hazy
106,6,KLAS,Las Vegas,Southwest,2023,6,Summer,90.7,100.0,79.1,0.44,25,9.0,8.9,109,Hazy
107,7,KLAX,Los Angeles,Southwest,2023,6,Summer,91.9,98.1,83.5,1.73,65,7.8,8.4,103,Rain
108,8,KABQ,Albuquerque,Southwest,2023,6,Summer,82.4,95.4,71.2,1.15,37,7.9,9.5,88,Rain
109,9,KORD,Chicago,Midwest,2023,6,Summer,75.6,81.8,67.6,1.91,67,16.0,9.6,70,Rain
110,10,KMSP,Minneapolis,Midwest,2023,6,Summer,68.4,74.6,61.0,1.25,55,10.4,10.0,65,Cloudy
111,11,KMCI,Kansas City,Midwest,2023,6,Summer,80.4,89.3,69.0,3.56,71,9.7,8.8,60,Rain
112,12,KCMH,Columbus,Midwest,2023,6,Summer,76.1,82.9,66.6,3.55,60,8.4,9.0,76,Rain
113,13,KATL,Atlanta,Southeast,2023,6,Summer,89.0,97.2,77.8,4.38,80,4.8,7.5,81,Rain
114,14,KMIA,Miami,Southeast,2023,6,Summer,100.3,112.3,87.4,5.07,73,6.7,5.8,50,Rain
115,15,KBNA,Nashville,Southeast,2023,6,Summer,79.7,90.8,73.3,4.83,79,4.7,5.8,61,Rain
116,16,KCLT,Charlotte,Southeast,2023,6,Summer,79.1,88.1,69.6,4.0,66,6.2,7.9,49,Rain
117,17,KJFK,New York,Northeast,2023,6,Summer,73.1,81.8,66.5,3.17,59,12.0,8.9,62,Rain
118,18,KBOS,Boston,Northeast,2023,6,Summer,77.3,88.5,69.9,3.58,65,11.5,7.6,56,Rain
119,19,KPHL,Philadelphia,Northeast,2023,6,Summer,80.0,90.8,68.3,3.24,54,12.3,7.0,63,Rain
120,20,KPIT,Pittsburgh,Northeast,2023,6,Summer,74.1,84.1,61.2,2.36,80,12.2,8.2,73,Rain
121,1,KSEA,Seattle,Northwest,2023,7,Summer,72.0,82.3,62.7,3.02,78,11.1,6.9,55,Rain
122,2,KPDX,Portland,Northwest,2023,7,Summer,74.5,80.5,63.8,3.11,75,9.1,9.7,59,Rain
123,3,KBOI,Boise,Northwest,2023,7,Summer,72.8,81.3,61.2,0.73,60,6.7,9.0,72,Rain
124,4,KGEG,Spokane,Northwest,2023,7,Summer,67.2,74.3,56.4,1.23,75,3.5,9.9,43,Rain
125,5,KPHX,Phoenix,Southwest,2023,7,Summer,96.1,105.3,87.1,0,29,8.8,9.8,105,Hazy
126,6,KLAS,Las Vegas,Southwest,2023,7,Summer,97.1,105.2,84.3,0.12,16,5.4,10.0,95,Hazy
127,7,KLAX,Los Angeles,Southwest,2023,7,Summer,90.4,99.3,84.2,1.84,71,5.4,8.9,102,Rain
128,8,KABQ,Albuquerque,Southwest,2023,7,Summer,75.6,88.9,67.2,0.5,47,10.2,10.0,112,Hazy
129,9,KORD,Chicago,Midwest,2023,7,Summer,71.6,81.4,59.3,3.23,75,13.7,9.2,77,Rain
130,10,KMSP,Minneapolis,Midwest,2023,7,Summer,64.3,72.5,51.0,1.06,75,14.4,8.8,59,Cloudy
131,11,KMCI,Kansas City,Midwest,2023,7,Summer,78.4,91.7,67.0,3.38,71,8.2,8.3,62,Rain
132,12,KCMH,Columbus,Midwest,2023,7,Summer,70.2,81.4,57.7,3.78,60,10.6,8.6,51,Rain
133,13,KATL,Atlanta,Southeast,2023,7,Summer,86.3,96.5,74.0,3.66,68,5.7,8.7,64,Rain
134,14,KMIA,Miami,Southeast,2023,7,Summer,94.6,102.3,87.2,5.6,78,8.2,7.4,55,Rain
135,15,KBNA,Nashville,Southeast,2023,7,Summer,76.2,84.7,64.8,3.64,86,7.0,8.5,69,Rain
136,16,KCLT,Charlotte,Southeast,2023,7,Summer,79.6,88.9,71.4,3.8,69,10.5,9.1,60,Rain
137,17,KJFK,New York,Northeast,2023,7,Summer,75.5,81.8,67.0,4.07,71,11.1,6.2,65,Rain
138,18,KBOS,Boston,Northeast,2023,7,Summer,76.8,85.4,68.6,4.29,60,13.2,7.2,79,Rain
139,19,KPHL,Philadelphia,Northeast,2023,7,Summer,77.4,85.5,69.8,4.07,67,7.3,8.1,64,Rain
140,20,KPIT,Pittsburgh,Northeast,2023,7,Summer,73.4,85.4,64.0,3.25,69,12.4,8.3,92,Rain
141,1,KSEA,Seattle,Northwest,2023,8,Summer,70.1,81.1,61.3,4.04,84,6.5,8.6,73,Rain
142,2,KPDX,Portland,Northwest,2023,8,Summer,70.4,83.8,61.3,3.72,75,9.4,7.2,40,Rain
143,3,KBOI,Boise,Northwest,2023,8,Summer,73.1,86.9,64.6,1.38,53,11.0,10.0,72,Cloudy
144,4,KGEG,Spokane,Northwest,2023,8,Summer,67.0,79.4,55.0,2.33,57,4.1,8.1,67,Rain
145,5,KPHX,Phoenix,Southwest,2023,8,Summer,93.5,106.9,83.8,1.27,41,5.2,9.7,93,Cloudy
146,6,KLAS,Las Vegas,Southwest,2023,8,Summer,89.9,102.4,81.4,0,21,11.8,10.0,102,Hazy
147,7,KLAX,Los Angeles,Southwest,2023,8,Summer,84.4,95.5,78.0,0.15,63,5.0,10.0,97,Hazy
148,8,KABQ,Albuquerque,Southwest,2023,8,Summer,80.8,94.7,71.1,0.43,46,10.1,10.0,92,Clear
149,9,KORD,Chicago,Midwest,2023,8,Summer,75.9,83.0,68.2,2.53,65,9.7,9.3,71,Rain
150,10,KMSP,Minneapolis,Midwest,2023,8,Summer,68.1,75.6,59.7,2.66,59,12.4,9.7,86,Rain
151,11,KMCI,Kansas City,Midwest,2023,8,Summer,72.1,85.0,65.1,2.28,66,14.1,9.6,77,Rain
152,12,KCMH,Columbus,Midwest,2023,8,Summer,70.6,79.8,58.0,2.58,63,9.3,7.7,72,Rain
153,13,KATL,Atlanta,Southeast,2023,8,Summer,82.8,90.8,74.0,2.94,75,5.2,7.9,54,Rain
154,14,KMIA,Miami,Southeast,2023,8,Summer,99.6,109.5,87.8,6.06,82,11.2,5.1,48,Rain
155,15,KBNA,Nashville,Southeast,2023,8,Summer,80.2,91.0,67.5,4.82,65,5.2,6.8,67,Rain
156,16,KCLT,Charlotte,Southeast,2023,8,Summer,76.2,83.1,69.4,2.94,85,5.8,7.4,69,Rain
157,17,KJFK,New York,Northeast,2023,8,Summer,76.0,85.4,68.4,2.99,76,12.9,9.8,97,Rain
158,18,KBOS,Boston,Northeast,2023,8,Summer,77.8,91.4,69.2,2.58,60,13.2,9.2,92,Rain
159,19,KPHL,Philadelphia,Northeast,2023,8,Summer,81.5,90.2,74.3,2.66,68,10.3,9.2,61,Rain
160,20,KPIT,Pittsburgh,Northeast,2023,8,Summer,71.1,78.6,63.8,3.69,61,8.9,7.3,68,Rain
161,1,KSEA,Seattle,Northwest,2023,9,Fall,42.3,50.7,35.9,2.81,87,9.9,9.5,28,Rain
162,2,KPDX,Portland,Northwest,2023,9,Fall,45.1,58.1,36.9,3.38,66,5.2,7.1,63,Rain
163,3,KBOI,Boise,Northwest,2023,9,Fall,39.7,46.4,29.0,1.31,58,9.9,10.0,68,Cloudy
164,4,KGEG,Spokane,Northwest,2023,9,Fall,36.5,44.7,25.6,0.97,63,10.9,8.5,70,Cloudy
165,5,KPHX,Phoenix,Southwest,2023,9,Fall,74.0,84.6,64.2,0,31,5.1,10.0,74,Clear
166,6,KLAS,Las Vegas,Southwest,2023,9,Fall,70.4,79.9,57.7,1.24,22,6.2,10.0,93,Rain
167,7,KLAX,Los Angeles,Southwest,2023,9,Fall,54.9,62.7,43.6,1.87,68,4.6,10.0,108,Rain
168,8,KABQ,Albuquerque,Southwest,2023,9,Fall,49.9,58.9,35.9,0,38,10.7,10.0,94,Hazy
169,9,KORD,Chicago,Midwest,2023,9,Fall,46.4,60.1,33.9,2.27,58,10.4,8.1,80,Rain
170,10,KMSP,Minneapolis,Midwest,2023,9,Fall,40.3,51.2,33.0,1.64,69,13.0,9.5,55,Cloudy
171,11,KMCI,Kansas City,Midwest,2023,9,Fall,54.3,63.2,41.2,2.7,69,12.2,10.0,68,Rain
172,12,KCMH,Columbus,Midwest,2023,9,Fall,42.8,50.4,31.0,3.11,60,10.9,7.7,72,Rain
173,13,KATL,Atlanta,Southeast,2023,9,Fall,61.0,68.3,51.5,3.93,83,11.8,7.0,39,Rain
174,14,KMIA,Miami,Southeast,2023,9,Fall,66.2,77.8,58.8,4.62,80,8.6,7.1,64,Rain
175,15,KBNA,Nashville,Southeast,2023,9,Fall,53.8,64.1,43.9,3.87,84,7.8,7.9,68,Rain
176,16,KCLT,Charlotte,Southeast,2023,9,Fall,54.8,63.2,47.8,2.85,82,8.5,8.7,66,Rain
177,17,KJFK,New York,Northeast,2023,9,Fall,45.3,54.5,31.8,4.2,71,11.0,6.8,64,Rain
178,18,KBOS,Boston,Northeast,2023,9,Fall,44.6,55.1,34.6,3.65,61,11.1,7.6,77,Rain
179,19,KPHL,Philadelphia,Northeast,2023,9,Fall,54.3,62.1,47.1,3.87,54,12.3,8.2,63,Rain
180,20,KPIT,Pittsburgh,Northeast,2023,9,Fall,41.8,50.0,34.2,3.44,77,10.0,7.8,58,Rain
181,1,KSEA,Seattle,Northwest,2023,10,Fall,42.1,49.2,30.4,4.53,80,8.2,5.9,65,Rain
182,2,KPDX,Portland,Northwest,2023,10,Fall,47.7,57.2,41.4,3.56,68,7.3,9.3,60,Rain
183,3,KBOI,Boise,Northwest,2023,10,Fall,48.1,58.5,41.9,1.67,64,8.2,10.0,50,Cloudy
184,4,KGEG,Spokane,Northwest,2023,10,Fall,38.9,49.8,26.0,1.36,63,8.7,10.0,44,Cloudy
185,5,KPHX,Phoenix,Southwest,2023,10,Fall,67.4,76.8,57.0,0.2,38,5.6,9.2,74,Clear
186,6,KLAS,Las Vegas,Southwest,2023,10,Fall,62.4,74.9,53.7,0.87,32,4.8,10.0,109,Rain
187,7,KLAX,Los Angeles,Southwest,2023,10,Fall,55.8,67.5,43.3,1.88,80,8.1,9.8,98,Rain
188,8,KABQ,Albuquerque,Southwest,2023,10,Fall,58.1,70.2,45.1,0.02,31,5.7,10.0,97,Hazy
189,9,KORD,Chicago,Midwest,2023,10,Fall,45.0,56.4,33.1,2.65,68,10.8,7.2,76,Rain
190,10,KMSP,Minneapolis,Midwest,2023,10,Fall,43.2,52.8,36.4,1.57,65,12.8,9.2,83,Cloudy
191,11,KMCI,Kansas City,Midwest,2023,10,Fall,43.3,52.5,30.5,3.28,70,10.6,9.3,54,Rain
192,12,KCMH,Columbus,Midwest,2023,10,Fall,44.9,57.8,36.3,3.24,66,13.4,6.8,66,Rain
193,13,KATL,Atlanta,Southeast,2023,10,Fall,63.5,74.9,49.8,3.49,73,8.8,9.0,74,Rain
194,14,KMIA,Miami,Southeast,2023,10,Fall,72.6,81.4,65.8,5.61,83,10.7,6.5,34,Rain
195,15,KBNA,Nashville,Southeast,2023,10,Fall,57.2,66.4,43.7,4.98,74,5.4,6.9,50,Rain
196,16,KCLT,Charlotte,Southeast,2023,10,Fall,53.5,64.2,44.7,3.31,76,9.1,7.3,72,Rain
197,17,KJFK,New York,Northeast,2023,10,Fall,45.4,55.2,37.5,4.22,63,10.4,8.4,60,Rain
198,18,KBOS,Boston,Northeast,2023,10,Fall,39.5,51.9,30.0,3.24,57,14.1,6.8,83,Rain
199,19,KPHL,Philadelphia,Northeast,2023,10,Fall,53.6,67.5,41.5,2.51,65,9.7,9.6,84,Rain
200,20,KPIT,Pittsburgh,Northeast,2023,10,Fall,47.5,59.5,39.1,2.41,73,8.6,10.0,70,Rain
201,1,KSEA,Seattle,Northwest,2023,11,Fall,41.5,51.0,32.8,4.64,85,10.6,7.9,35,Rain
202,2,KPDX,Portland,Northwest,2023,11,Fall,53.0,66.2,42.6,2.74,86,4.9,9.2,27,Rain
203,3,KBOI,Boise,Northwest,2023,11,Fall,49.2,60.0,35.9,1.47,65,4.7,8.5,73,Rain
204,4,KGEG,Spokane,Northwest,2023,11,Fall,41.8,54.8,31.7,1.06,67,8.2,9.3,63,Rain
205,5,KPHX,Phoenix,Southwest,2023,11,Fall,68.7,78.6,55.4,0.39,35,6.4,8.8,106,Hazy
206,6,KLAS,Las Vegas,Southwest,2023,11,Fall,64.3,75.6,55.5,1.18,25,4.8,10.0,99,Cloudy
207,7,KLAX,Los Angeles,Southwest,2023,11,Fall,61.8,74.3,49.8,0.83,78,9.1,9.4,85,Rain
208,8,KABQ,Albuquerque,Southwest,2023,11,Fall,48.7,59.3,36.9,0.52,49,11.9,10.0,76,Clear
209,9,KORD,Chicago,Midwest,2023,11,Fall,46.2,52.5,33.8,3.22,77,12.3,7.6,88,Rain
210,10,KMSP,Minneapolis,Midwest,2023,11,Fall,43.0,53.5,31.7,1.16,72,12.4,9.7,48,Rain
211,11,KMCI,Kansas City,Midwest,2023,11,Fall,49.1,56.2,39.6,2.37,58,10.2,8.1,50,Rain
212,12,KCMH,Columbus,Midwest,2023,11,Fall,46.2,58.6,35.0,2.11,74,10.4,9.9,46,Rain
213,13,KATL,Atlanta,Southeast,2023,11,Fall,56.7,67.5,50.5,3.94,72,6.0,8.2,48,Rain
214,14,KMIA,Miami,Southeast,2023,11,Fall,74.9,87.1,62.5,5.23,86,10.7,6.4,41,Rain
215,15,KBNA,Nashville,Southeast,2023,11,Fall,52.9,62.1,46.3,3.96,64,9.7,6.8,53,Rain
216,16,KCLT,Charlotte,Southeast,2023,11,Fall,60.5,67.2,52.5,2.85,76,12.1,7.3,47,Rain
217,17,KJFK,New York,Northeast,2023,11,Fall,50.9,61.7,42.5,4.08,62,10.1,8.9,48,Rain
218,18,KBOS,Boston,Northeast,2023,11,Fall,49.8,57.2,40.6,4.4,68,13.1,7.8,63,Rain
219,19,KPHL,Philadelphia,Northeast,2023,11,Fall,43.5,53.8,32.5,3.8,75,8.4,6.6,88,Rain
220,20,KPIT,Pittsburgh,Northeast,2023,11,Fall,40.2,47.8,30.4,3.67,75,11.0,7.3,75,Rain
221,1,KSEA,Seattle,Northwest,2023,12,Winter,31.1,42.1,22.6,2.92,68,11.8,9.1,21,Snow
222,2,KPDX,Portland,Northwest,2023,12,Winter,28.5,39.1,19.1,2.26,72,9.4,9.1,21,Rain
223,3,KBOI,Boise,Northwest,2023,12,Winter,25.0,38.0,14.8,1.52,53,3.6,10.0,55,Cloudy
224,4,KGEG,Spokane,Northwest,2023,12,Winter,24.9,31.3,11.9,1.54,68,8.2,8.2,52,Cloudy
225,5,KPHX,Phoenix,Southwest,2023,12,Winter,54.9,65.3,48.8,1.2,39,8.2,10.0,75,Rain
226,6,KLAS,Las Vegas,Southwest,2023,12,Winter,46.1,55.7,33.5,0,36,9.0,10.0,75,Cloudy
227,7,KLAX,Los Angeles,Southwest,2023,12,Winter,47.4,60.9,41.3,0,71,3.7,10.0,108,Hazy
